,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE
1232,2024-04-10,Condo/Co-op,217 16th St NE #1,Washington,DC,20002.0,940000.0,2.0,2.0,KINGMAN PARK,1595.0,,2024.0,349.0,38.8926341,-76.9817454
1233,2024-05-03,Condo/Co-op,106 Tennessee Ave NE #1,Washington,DC,20002.0,505000.0,2.0,1.0,Old City 1,850.0,,1880.0,359.0,38.8905956,-76.9898626
1234,2024-05-21,Townhouse,111 Kentucky Ave SE,Washington,DC,20003.0,860000.0,3.0,1.0,Old City 1,2130.0,956.0,1922.0,0.0,38.8888346,-76.9897663
1235,2024-04-22,Condo/Co-op,1242 Meigs Pl NE #1,Washington,DC,20002.0,600000.0,3.0,3.0,Trinidad,1780.0,,2024.0,191.0,38.9079264,-76.9846717
1236,2024-03-20,Condo/Co-op,420 Oklahoma Ave NE #202,Washington,DC,20002.0,300000.0,1.0,1.0,Old City 1,630.0,,1944.0,387.0,38.895749,-76.9720244
1237,2024-03-08,Condo/Co-op,1910 Benning Rd NE #1,Washington,DC,20002.0,309900.0,2.0,2.0,Trinidad,612.0,,2023.0,188.0,38.8989988,-76.9756586
1238,2024-04-16,Townhouse,1230 G St NE,Washington,DC,20002.0,770000.0,3.0,2.5,Old City 1,1406.0,1440.0,1925.0,0.0,38.8990922,-76.9890921
1239,2024-04-05,Townhouse,1622 Rosedale St NE,Washington,DC,20002.0,300000.0,3.0,2.0,Old City 1,832.0,960.0,1941.0,0.0,38.8975797,-76.9814757
1240,2024-04-26,Condo/Co-op,919 12th St NE #101,Washington,DC,20002.0,319900.0,1.0,1.0,H STREET CORRIDOR,693.0,,2023.0,294.0,38.9019833,-76.9897326
1241,2024-05-13,Townhouse,1202 Orren St NE,Washington,DC,20002.0,530000.0,3.0,2.0,Trinidad,1781.0,1595.0,1914.0,0.0,38.9023864,-76.9861163
1242,2024-04-24,Condo/Co-op,1020 Florida Ave NE #1,Washington,DC,20002.0,329000.0,1.0,1.0,Trinidad,764.0,,2023.0,152.0,38.9037813,-76.9920679
1243,2024-03-26,Townhouse,1306 Emerald St NE,Washington,DC,20002.0,920000.0,3.0,1.5,Old City 1,1320.0,1024.0,1909.0,0.0,38.8968679,-76.9876964
1244,2024-04-12,Townhouse,105 14th St NE,Washington,DC,20002.0,985000.0,3.0,2.5,Old City 1,1754.0,1116.0,1907.0,0.0,38.8911912,-76.9852702
1245,2024-05-15,Condo/Co-op,1262 Holbrook Ter NE Unit B,Washington,DC,20002.0,599920.0,3.0,2.5,Trinidad,1931.0,,2024.0,200.0,38.9068396,-76.9846815
1246,2024-03-20,Townhouse,1233 Linden Pl NE,Washington,DC,20002.0,799000.0,2.0,1.5,Old City 1,1368.0,1044.0,1925.0,0.0,38.8994268,-76.9889458
1247,2024-04-08,Townhouse,405 4th St NE,Washington,DC,20002.0,1100000.0,3.0,2.5,Old City 1,1356.0,1066.0,1890.0,0.0,38.8950672,-77.0003629
1248,2024-03-22,Townhouse,406 Tennessee Ave NE,Washington,DC,20002.0,1210000.0,3.0,3.5,Old City 1,1872.0,1280.0,1910.0,0.0,38.8950699,-76.9861664
1249,2024-04-17,Townhouse,540 24th St NE,Washington,DC,20002.0,770000.0,3.0,2.5,Old City 1,1733.0,1600.0,1928.0,0.0,38.8971612,-76.9726884
1250,2024-05-07,Townhouse,22 18th St SE,Washington,DC,20003.0,565000.0,3.0,1.0,Old City 1,1532.0,1731.0,1923.0,0.0,38.8891595,-76.9787863
1251,2024-04-22,Townhouse,1429 Ames Pl NE,Washington,DC,20002.0,895000.0,3.0,2.0,Old City 1,1854.0,1185.0,1909.0,0.0,38.8913296,-76.9843215
1252,2024-03-23,Townhouse,123 5th St NE,Washington,DC,20002.0,2525000.0,6.0,5.5,Capitol Hill,3007.0,1616.0,1900.0,0.0,38.8916118,-76.9992606
1253,2024-05-03,Townhouse,559 23rd Pl NE,Washington,DC,20002.0,735000.0,3.0,2.5,Old City 1,1780.0,1464.0,1930.0,0.0,38.8975016,-76.9730892
1254,2024-04-30,Townhouse,522 Tennessee Ave NE,Washington,DC,20002.0,899750.0,2.0,2.5,Old City 1,2252.0,1234.0,1900.0,0.0,38.8967236,-76.9848176
1255,2024-03-11,Townhouse,906 13th St NE,Washington,DC,20002.0,695000.0,2.0,1.5,Old City 1,1112.0,1291.0,1916.0,0.0,38.9017771,-76.9885342
1256,2024-04-22,Townhouse,501 M St NE,Washington,DC,20002.0,851000.0,3.0,2.0,Old City 1,2248.0,2000.0,1890.0,0.0,38.9054413,-76.9993056
1257,2024-04-12,Townhouse,917 7th St NE #1,Washington,DC,20002.0,845000.0,4.0,3.0,Old City 1,2160.0,,1912.0,400.0,38.9018504,-76.9959309
1258,2024-05-03,Townhouse,1413 East Capitol SE,Washington,DC,20003.0,1250000.0,2.0,3.5,Old City 1,1904.0,2088.0,1918.0,0.0,38.8894475,-76.9849673
1259,2024-04-30,Townhouse,125 12th St NE,Washington,DC,20002.0,1775000.0,4.0,4.0,Old City 1,3006.0,1294.0,1918.0,0.0,38.8910848,-76.9899688
1260,2024-03-28,Townhouse,916 NE C St NE,Washington,DC,20002.0,810000.0,3.0,2.0,Old City 1,2406.0,1094.0,1908.0,0.0,38.8937655,-76.9930962
1261,2024-04-12,Condo/Co-op,4445 Nannie Helen Burroughs Ave NE #102,Washington,DC,20019.0,180000.0,1.0,1.0,Deanwood,459.0,,2023.0,118.0,38.8994954,-76.9370023
1262,2024-04-17,Townhouse,1670 Montello Ave NE,Washington,DC,20002.0,656000.0,3.0,3.0,Trinidad,1717.0,1481.0,1905.0,0.0,38.9088368,-76.9862902
1263,2024-04-04,Condo/Co-op,2001 I St NE Unit 8,Washington,DC,20002.0,369900.0,1.0,1.0,CARVER LANGSTON,740.0,,2023.0,205.0,38.9022969,-76.9749495
1264,2024-03-19,Condo/Co-op,410 5th St NE #22,Washington,DC,20002.0,703000.0,2.0,2.0,Old City 1,1021.0,,1887.0,545.0,38.8953772,-76.9997995
1265,2024-04-25,Townhouse,637 10th St NE,Washington,DC,20002.0,1215000.0,3.0,3.5,Old City 1,2130.0,1816.0,1910.0,0.0,38.8983645,-76.9924212
1266,2024-04-03,Townhouse,252 13th St NE,Washington,DC,20002.0,917000.0,2.0,2.5,Old City 1,1344.0,1176.0,1889.0,0.0,38.8932891,-76.9885578
1267,2024-03-29,Townhouse,623 6th St NE,Washington,DC,20002.0,1615000.0,5.0,3.5,Old City 1,2750.0,1108.0,1900.0,0.0,38.8980339,-76.9982032
1268,2024-03-11,Townhouse,1113 Park St NE,Washington,DC,20002.0,952000.0,3.0,1.5,Old City 1,1305.0,1400.0,1875.0,0.0,38.8926079,-76.9910234
1269,2024-04-05,Condo/Co-op,1036 6th St NE #102,Washington,DC,20002.0,405000.0,3.0,1.0,Old City 1,795.0,,1905.0,440.0,38.9034869,-76.9986981
