,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,closest_greenspace_direct,closest_greenspace_area,closest_metro_direct,closest_school_direct,closest_college_direct,closest_shop_direct,closest_tourism_direct,closest_leisure_direct,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,TARGET_ENCODED_PRICE_50,all_greenspace_area_under2.5km,crosses_highway_under2.5km
2184,3.0,2.0,1762.0,5400.0,1936.0,0.0,0.2493708566129379,36626.18740603808,2.0460426056526004,1.042477447395162,2.781577042404512,2.023297401844411,2.9362394666169265,1.1294046026912803,0,1,0,1133000.2345679011,7761285.897812227,False
2185,4.0,1.5,2093.0,2763.0,1921.0,0.0,0.0893266055566919,63.41143024543999,2.1851701107221317,0.3345541925142017,3.289139086536492,3.000250885930189,0.7839151183534723,0.4900989926644333,0,0,1,1369992.792792793,8472741.996340709,False
2186,4.0,3.5,3406.0,5559.0,1940.0,0.0,0.4252306034314581,2273.1971410263795,2.406954664494137,1.3728108596646549,3.0484947726470777,2.384704625587277,2.925890441506937,1.495789695611394,0,1,0,1133000.2345679011,7820019.821275579,False
2187,1.0,1.0,558.0,0.0,1900.0,426.0,0.1988579913370061,3317.593954824035,1.933221253091764,0.2367606299133143,3.719602705436,3.061704823890831,0.9808312667341076,0.8348228206715235,1,0,0,1369992.792792793,8374871.671572452,False
2188,3.0,1.5,2009.0,2585.0,1938.0,0.0,0.3987400458524275,36626.18740603808,2.198253304685006,1.1949317715918912,2.892213471278335,2.1757385814652266,2.9268584579937773,1.2841387785916951,0,1,0,1133000.2345679011,7843514.788917569,False
2189,4.0,3.0,3095.0,6862.0,1948.0,0.0,0.4206062832454188,36626.18740603808,1.4244540806376664,0.5148812636806331,1.9610645399527613,1.3979845251387355,2.711690771036346,0.5962364658464406,0,1,0,1369992.792792793,9040881.886064308,False
2190,4.0,3.5,3835.0,13206.0,1949.0,0.0,0.0268182258642971,85516.19766601734,2.76185592850534,1.781788881086456,3.5522068657533428,2.741891703604012,3.275209799961679,1.8902724765556524,0,1,0,1133000.2345679011,7603849.657327776,False
2191,5.0,4.0,3586.0,3759.0,1911.0,0.0,0.1105031669848873,287.3985010868273,2.350505725272515,0.0786739718430681,3.021525382772941,3.052096637509023,0.6555430086056144,0.5381562420697223,0,1,0,1369992.792792793,8510289.652214803,False
2192,5.0,4.0,3200.0,5500.0,1927.0,0.0,0.4784246332423537,36626.18740603808,2.322349919855333,1.1481713861281668,2.823068430028949,2.298821378866208,2.7334057399554434,1.3974433368063557,0,1,0,1369992.792792793,8377707.182073573,False
2193,7.0,5.0,8112.0,20000.0,1928.0,0.0,0.136933439346479,36626.18740603808,1.5762678306866835,0.5823858820540015,2.694168118694621,1.5548187872142505,3.236455407170501,0.6908579118347177,0,1,0,1696862.7647058824,7879289.198915431,False
2194,3.0,2.5,2120.0,4671.0,1948.0,0.0,0.1360741080513912,7170312.5161903305,1.5401005470466471,0.8033955174791091,3.839136970812008,1.5852642089036275,1.4733871932686349,0.711631904084578,0,1,0,952545.4545454546,8269605.5801064,False
2195,3.0,2.0,1790.0,2045.0,1950.0,0.0,0.0171735409741519,460179.86310639686,1.4950832782361714,0.3765319654558728,3.9555313108819545,2.463978251573665,0.5838288014525541,1.255318088147602,0,0,1,1696862.7647058824,8318838.149293208,False
2196,4.0,4.0,2700.0,5460.0,1940.0,0.0,0.107900685451531,85516.19766601734,2.9495542448532386,1.8489651726934084,3.5099907087990228,2.8385250451434074,3.036468444987515,2.048003026828514,0,1,0,952545.4545454546,8098695.583820719,False
2197,3.0,3.0,2492.0,1827.0,1930.0,0.0,0.1195855129719156,38701.37007736042,1.980839201649928,0.1460394086233585,3.3892223619383453,2.760915473850825,1.0354632567355906,0.8095732074167357,0,0,1,678467.3728813559,8408874.57062604,False
