,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,closest_greenspace_direct,closest_greenspace_loc,closest_metro_direct,closest_metro_loc
1329,2024-05-28,Townhouse,5745 13th St NW,Washington,DC,20011.0,850000.0,3.0,3.0,16th Street Heights,2492.0,1827.0,1930.0,0.0,38.9597708,-77.0293498,0.20287336691975685,"(38.95946654287841, -77.02703632210277)",1.980839201649928,"(38.9750301, -77.0175271)"
1330,2024-03-28,Single Family Residential,3720 Livingston St NW,Washington,DC,20015.0,1980000.0,4.0,3.5,Chevy Chase,3000.0,6000.0,1925.0,0.0,38.9628678,-77.0729567,0.31889539936869743,"(38.9651105, -77.0752556)",1.085891007306263,"(38.960649, -77.0851875)"
1331,2024-06-03,Single Family Residential,6320 Piney Branch Rd NW,Washington,DC,20011.0,1510000.0,7.0,6.0,BRIGHTWOOD,5400.0,7991.0,2023.0,0.0,38.967014,-77.028702,0.2949821077768698,"(38.96438830660239, -77.02918883739139)",1.314456971501228,"(38.9750301, -77.0175271)"
1332,2024-03-29,Single Family Residential,1319 Emerson St NW,Washington,DC,20011.0,900000.0,3.0,2.5,16th Street Heights,1858.0,7100.0,1920.0,0.0,38.9499513,-77.0315816,0.19494675433965045,"(38.94945945442181, -77.02941778734017)",1.5445134914524428,"(38.9371288, -77.0247153)"
1333,2024-04-26,Townhouse,1326 Ingraham St NW,Washington,DC,20011.0,995000.0,4.0,3.0,16th Street Heights,2508.0,5733.0,1926.0,0.0,38.953938,-77.0307541,0.15026945196264505,"(38.9526199602958, -77.03113787183298)",1.9406863883823997,"(38.9371288, -77.0247153)"
1334,2024-03-26,Single Family Residential,1205 Fern St NW,Washington,DC,20012.0,980000.0,6.0,3.0,Shepherd Park,3066.0,5531.0,1924.0,0.0,38.9782035,-77.0283348,0.30056626769805544,"(38.98060623333333, -77.02992773333334)",0.9409232019722715,"(38.9757757, -77.0179075)"
1335,2024-04-08,Townhouse,1383 Rittenhouse St NW,Washington,DC,20011.0,900000.0,4.0,3.5,Brightwood,2360.0,1840.0,1932.0,0.0,38.9656417,-77.0325753,0.28543349171635224,"(38.96367533013706, -77.03045312865879)",1.6680036160607108,"(38.9750301, -77.0175271)"
1336,2024-05-29,Single Family Residential,2959 Northampton St NW,Washington,DC,20015.0,3500000.0,7.0,6.5,Chevy Chase,6350.0,8886.0,1939.0,0.0,38.9659596,-77.0614849,0.5043801297687298,"(38.9676443, -77.0669016)",2.1326965831137703,"(38.960649, -77.0851875)"
1337,2024-05-31,Single Family Residential,3110 Oliver St NW,Washington,DC,20015.0,1190000.0,3.0,2.0,Chevy Chase,2025.0,3280.0,1932.0,0.0,38.9665765,-77.0620004,0.4400533616847209,"(38.9676443, -77.0669016)",2.110305649451049,"(38.960649, -77.0851875)"
1338,2024-03-20,Single Family Residential,6243 29th St NW,Washington,DC,20015.0,1500000.0,4.0,3.5,Chevy Chase,3055.0,8750.0,1962.0,0.0,38.9713633,-77.0575032,0.33382014369517216,"(38.97075273686353, -77.05372247890955)",2.6735965512429254,"(38.960649, -77.0851875)"
1339,2024-05-20,Single Family Residential,5479 30th St NW,Washington,DC,20015.0,1525000.0,4.0,3.5,Chevy Chase,2079.0,6080.0,1938.0,0.0,38.9633134,-77.0601678,0.2029744356100043,"(38.96198210110164, -77.05856163855312)",2.097976753221597,"(38.9446332, -77.0635785)"
1340,2024-04-26,Condo/Co-op,1446 Tuckerman St NW #108,Washington,DC,20011.0,182000.0,1.0,1.0,Brightwood,,,1941.0,469.0,38.9674259,-77.0351625,0.24110037977400564,"(38.96926425334946, -77.03368375588398)",1.7433552565732102,"(38.9750301, -77.0175271)"
1341,2024-05-25,Townhouse,827 Delafield Pl NW,Washington,DC,20011.0,800000.0,3.0,3.5,Petworth,1928.0,1620.0,1925.0,0.0,38.9492319,-77.0248092,0.25962630492642946,"(38.94816057392673, -77.02214164079105)",1.345827817884621,"(38.9371288, -77.0247153)"
1342,2024-04-30,Single Family Residential,1000 Main Dr NW,Washington,DC,20012.0,1320000.0,8.0,5.0,Brightwood,6469.0,15157.0,1910.0,0.0,38.973336,-77.027275,0.4462892378461091,"(38.970660435488725, -77.03112304911184)",0.8540132949856222,"(38.9757757, -77.0179075)"
1343,2024-03-12,Single Family Residential,1341 Hamilton St NW,Washington,DC,20011.0,1100000.0,4.0,3.0,16th Street Heights,2246.0,5467.0,1936.0,0.0,38.9531933,-77.0314161,0.06814111976762363,"(38.9526199602958, -77.03113787183298)",1.8779379301557242,"(38.9371288, -77.0247153)"
1344,2024-04-23,Single Family Residential,4708 Blagden Ave NW,Washington,DC,20011.0,2087500.0,5.0,4.5,Crestwood,4200.0,5338.0,1929.0,0.0,38.9480577,-77.0398906,0.08949973833902232,"(38.94836499765565, -77.03893405368395)",1.7886537035178056,"(38.9371288, -77.0247153)"
1345,2024-03-29,Townhouse,831 Crittenden St NW,Washington,DC,20011.0,849000.0,4.0,3.5,Petworth,1440.0,2695.0,1922.0,0.0,38.9474269,-77.0247374,0.238841821210606,"(38.94816057392673, -77.02214164079105)",1.145098069205001,"(38.9371288, -77.0247153)"
1346,2024-04-02,Single Family Residential,1241 Geranium St NW,Washington,DC,20012.0,2350000.0,6.0,5.5,Shepherd Park,4716.0,8550.0,2023.0,0.0,38.9796077,-77.0294144,0.11956983257645205,"(38.98060623333333, -77.02992773333334)",1.0821025221350842,"(38.9757757, -77.0179075)"
1347,2024-05-31,Single Family Residential,1358 Ingraham St NW,Washington,DC,20011.0,1299950.0,5.0,4.5,16th Street Heights,3020.0,4000.0,1921.0,0.0,38.9539065,-77.0331179,0.22311499209864752,"(38.9526199602958, -77.03113787183298)",2.0021213380217193,"(38.9371288, -77.0247153)"
1348,2024-03-28,Condo/Co-op,7175 12th St NW #101,Washington,DC,20012.0,509900.0,1.0,1.0,SHEPHERD PARK,746.0,,2023.0,388.0,38.97692,-77.0276172,0.45596033410757536,"(38.98060623333333, -77.02992773333334)",0.8489308624397994,"(38.9757757, -77.0179075)"
1349,2024-05-15,Single Family Residential,1501 Farragut St NW,Washington,DC,20011.0,1900000.0,6.0,4.5,16th Street Heights,5215.0,10615.0,1910.0,0.0,38.9510089,-77.035056,0.38325824437706574,"(38.9526199602958, -77.03113787183298)",1.7837700789676854,"(38.9371288, -77.0247153)"
1350,2024-03-08,Single Family Residential,1263 Van Buren St NW,Washington,DC,20012.0,655000.0,4.0,2.0,Brightwood,1804.0,3600.0,1940.0,0.0,38.97015,-77.029257,0.15382355819957788,"(38.97052974530324, -77.0309679643567)",1.1500930161981004,"(38.9750301, -77.0175271)"
1351,2024-03-08,Condo/Co-op,7175 12th St NW #603,Washington,DC,20012.0,875000.0,2.0,2.5,SHEPHERD PARK,1130.0,,2023.0,645.0,38.97692,-77.0276172,0.45596033410757536,"(38.98060623333333, -77.02992773333334)",0.8489308624397994,"(38.9757757, -77.0179075)"
1352,2024-05-29,Condo/Co-op,5885 Colorado Ave NW #212,Washington,DC,20011.0,265000.0,2.0,2.0,16th Street Heights,996.0,,1900.0,791.0,38.9610274,-77.028548,0.21727065835724743,"(38.95946654287841, -77.02703632210277)",1.8254214893054002,"(38.9750301, -77.0175271)"
