,LOCATION,PRICE,ZIP OR POSTAL CODE,TARGET_ENCODED_PRICE_5,TARGET_ENCODED_PRICE_10,TARGET_ENCODED_PRICE_15,TARGET_ENCODED_PRICE_20,TARGET_ENCODED_PRICE_25,TARGET_ENCODED_PRICE_30,TARGET_ENCODED_PRICE_35,TARGET_ENCODED_PRICE_40,TARGET_ENCODED_PRICE_45,TARGET_ENCODED_PRICE_50
1010,Randle Heights,579000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1011,Randle Heights,750000.0,20032.0,364975.0,364975.0,364975.0,364975.0,311390.54054054053,311390.54054054053,311390.54054054053,311390.54054054053,311390.54054054053,311390.54054054053
1012,Old City 1,775000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1013,Capitol Hill,1160000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1014,Old City 1,700000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1015,Old City 1,1529000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1016,Capitol Hill,985000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1017,Old City 1,650000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1018,Randle Heights,332000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1019,Capitol Hill,377000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1020,Capitol Hill,1350319.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1021,Congress Heights,455000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1022,Old City 1,675000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1023,Congress Heights,238000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1024,Anacostia,409000.0,20020.0,437179.0833333333,437179.0833333333,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1025,Congress Heights,310000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1027,Old City 1,960000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1028,Fort Dupont Park,449000.0,20019.0,406668.75,406668.75,406668.75,406668.75,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1029,Randle Heights,380000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1030,Barry Farms,81500.0,20020.0,423916.5,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1031,OLD TOWN ALEXANDRIA,1603900.0,22314.0,1517597.7272727273,1517597.7272727273,1517597.7272727273,1517597.7272727273,1058173.5273972603,1058173.5273972603,1058173.5273972603,1058173.5273972603,1058173.5273972603,1058173.5273972603
1032,Old City 1,780000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1033,Old City 1,805000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1034,Old City 1,1058500.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
