,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,closest_greenspace_direct,closest_greenspace_area,all_greenspace_area_under1km,closest_metro_direct,closest_school_direct,closest_college_direct,closest_shop_direct,closest_tourism_direct,closest_leisure_direct,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,TARGET_ENCODED_PRICE_50
1764,-0.5,-0.25,-0.3164155432196669,-0.2957074721780604,-0.975609756097561,0.8489634748272458,0.15407983608308146,0.0,-0.39404975356164185,-0.20841719048590107,-0.6346187264089417,-0.7845962242741293,-0.09356378055969419,-0.5121573602821087,-0.7852976812294145,1,0,0,-0.20561588410167156
1083,0.0,0.75,0.5233941316415543,0.9761526232114467,0.11382113821138211,-0.2527147087857848,1.086503094912473,0.7347861227039444,-0.42657845243243336,0.0747599686912525,-0.6637587011775915,2.2296221383301735,2.101325110772194,2.731634172355824,5.33511151691709,0,1,0,-1.0702502218103376
743,0.0,0.25,0.5376685170499603,-0.06422893481717011,0.8943089430894309,0.24876604146100692,0.7446576020878203,-0.15372682584805467,-0.37640288809635863,0.05350560949024925,-0.3102915203083226,0.3593927688426528,0.8004892586734269,-0.05153894340852041,-0.12820461630900953,0,0,1,0.6537650178062389
1865,-0.5,0.5,-0.09278350515463918,-0.2957074721780604,-2.113821138211382,1.407699901283317,0.10167570991994836,-0.14392533485666395,1.4351239334126407,0.04564398815598771,-0.698475248775189,-0.8455689386515235,-0.6193954910255539,-0.3821252447224571,-0.16044914516538486,1,0,0,1.9272897961783173
1735,-1.0,-0.5,-0.626486915146709,-0.2957074721780604,0.8617886178861789,0.7759131293188549,0.37254485991694414,-0.1587771045601645,-0.09591094500264999,-0.1735146821721419,-0.15862471365634076,-0.8415846656292404,-0.20862082461372672,-0.5725388992419247,-0.625814939055114,1,0,0,-0.20561588410167156
1820,-1.0,-0.5,-0.7406819984139572,-0.2957074721780604,-0.14634146341463414,0.7778874629812438,-0.7312398977108345,-0.19124635137405688,-0.0956432611860606,-0.36141041145339453,-0.6109815371389297,-0.8702965359625905,-0.2084704754294206,-0.6624882160442263,-0.43297486719563855,1,0,0,-0.20561588410167156
1234,0.0,-0.5,0.5471847739888978,0.008267090620031796,-0.45528455284552843,-0.2527147087857848,-0.5976143256622727,0.7391180336001232,-0.3789247964344699,-0.1862724307440919,0.4685226847201406,0.0857093260239943,0.02279806099528122,-0.15279644857926677,0.21605998198852702,0,0,1,0.33513066668331304
707,-0.5,-0.5,-0.5273592386994449,0.044197138314785375,-2.6016260162601625,-0.2527147087857848,0.09618407194652046,-0.15004175956856425,-0.37815803881173726,0.1062247274786769,-0.45615490438564393,0.2764642797341602,0.9778754308966601,0.10910923087114316,0.010685701812989579,0,0,1,0.6537650178062389
65,0.5,0.75,1.43695479777954,2.9364069952305245,0.2601626016260163,-0.2527147087857848,5.205434387643286,-0.09619480072543442,-0.47434277388566637,2.355014789018421,-0.6893073404666238,0.6598613795335081,1.8216002545894598,0.8739432685002996,2.219290084088551,0,1,0,1.9143401696441467
1304,1.5,1.75,1.9032513877874702,0.5809220985691574,-0.6504065040650406,-0.2527147087857848,0.4701033677856393,-0.19340970179724434,-0.43028517584054893,0.019463069940607088,-0.618217871878467,0.12288634151239794,-0.13617790365280175,-0.03536993762455073,-0.5114062016413892,0,0,1,0.33513066668331304
