,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,closest_greenspace_direct,closest_greenspace_area,all_greenspace_area_under1km,closest_metro_direct,closest_school_direct,closest_college_direct,closest_shop_direct,closest_tourism_direct,closest_leisure_direct,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,TARGET_ENCODED_PRICE_50
403,3.0,2.0,1490.0,11515.0,1940.0,1.4210854715202004e-14,0.31935953263151606,541737.904428445,780232.622744822,1.7456041965323217,0.2872973484013753,1.6725419734221942,1.1497603803412266,0.9793748299146907,0.5402999028143799,0,1,0,646168.5833333334
404,1.0,1.0,916.0,0.0,1973.0,814.0,0.018311270949182487,3731.69063628465,275198.7540690949,0.6955566537917537,0.6684019809207694,0.8343122791652771,0.45066211326992667,0.5566408762923661,0.2845871739413489,1,0,0,681434.1470588235
405,1.0,1.0,720.0,0.0,1958.0,761.0,0.2946926644142898,64228.30462513538,230965.32212881284,1.8376073251389573,0.4598161810736998,2.2440517786636263,1.4616260891664483,0.8863547001496299,0.6632750882533234,1,0,0,646168.5833333334
407,1.0,1.0,745.0,0.0,2005.0,466.0,0.1643814161077312,4095.2969750557095,147086.82406087534,0.24177829314701116,0.4989375785550042,0.9309742297805432,1.7378763552738985,0.16372846763188909,0.0806304989971856,1,0,0,792921.9140625
408,4.0,3.0,2690.0,6785.0,1941.0,1.4210854715202004e-14,0.1277391328648685,1204.4400324886665,262837.446559572,0.8193695404563061,0.4141731024195528,0.5108413684919892,0.5531015411423488,0.14731700949890603,0.3413981700913358,0,1,0,681434.1470588235
409,5.0,7.0,6732.0,9027.0,2023.0,1.4210854715202004e-14,0.2790405345494087,6293.449027530325,79101.78690792981,0.4964335914117166,0.6850430922978935,0.9718874285997847,1.822707874278556,0.3837778471377824,0.3211926357935299,0,1,0,792921.9140625
410,2.0,2.0,864.0,0.0,1983.0,718.0,0.1644909780742784,2227.249603940407,248715.6757727099,0.284975300950823,0.3104562872989966,0.3240280436259373,1.0187968705427723,0.1492877964449173,0.3633624370670729,1,0,0,792921.9140625
411,2.0,2.0,1108.0,0.0,1992.0,647.0,0.04704643606239009,2068.779441235587,79462.70578154165,0.28142183800363374,0.2734496209325484,0.3502688834552963,1.315424748956994,0.2655697782676591,0.1577124160165888,1,0,0,792921.9140625
412,3.0,2.0,1370.0,0.0,1996.0,839.0,0.1172491377987147,1003.3221435239539,84577.52969762497,0.21138018662477776,0.1730479619642293,0.2721896378166826,1.28390940865191,0.2548834553060956,0.04735674849598387,1,0,0,792921.9140625
413,3.0,1.5,1435.0,0.0,2006.0,947.0,0.005166632992653908,408.676844556001,244090.32909230172,0.34632324591588304,0.3801203881564982,0.3543710530669806,0.7200421692879228,0.1059651880398535,0.11862503186775791,0,0,1,848407.1428571428
