SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,closest_greenspace_direct,closest_metro_direct
2024-05-02,Townhouse,616 4th Pl SW,Washington,DC,20024.0,1250000.0,4.0,3.5,R. L. A. SW,2840.0,1440.0,1968.0,84.0,38.8819072,-77.0185617,0.6250306305636868,0.359428990467994
2024-05-01,Condo/Co-op,1324 E St SE #107,Washington,DC,20003.0,679000.0,2.0,2.0,Old City 1,851.0,,1895.0,502.0,38.8834558,-76.9874544,0.19680680302524586,0.3093865661194975
2024-05-13,Townhouse,1332 Half St SW #1332,Washington,DC,20024.0,670000.0,2.0,2.5,Old City 1,1077.0,,2003.0,301.0,38.8735265,-77.0101825,1.1414510293640414,0.37727676481722217
2024-04-03,Townhouse,714 Capitol Square Pl SW,Washington,DC,20024.0,1095000.0,4.0,3.5,R. L. A. SW,2400.0,927.0,2001.0,220.0,38.8816731,-77.0226895,0.49825204776082743,0.3033929472369233
2024-03-11,Townhouse,602 Maury Ave,Oxon Hill,MD,20745.0,222000.0,3.0,1.0,GLASSMANOR,1512.0,2001.0,1950.0,0.0,38.8219738,-76.9996535,1.8381969555631932,2.7237975277782107
2024-03-11,Condo/Co-op,610 3rd St SE #3,Washington,DC,20003.0,390000.0,1.0,1.0,Capitol Hill,650.0,,1941.0,400.0,38.8818106,-77.001769,1.0556999800054105,0.5250042058776555
2024-05-02,Townhouse,1740 D St SE,Washington,DC,20003.0,665000.0,3.0,1.0,Old City 1,1612.0,1200.0,1925.0,0.0,38.8843181,-76.9792965,0.9093423277093888,0.24474950785708038
2024-05-31,Single Family Residential,3311 11th Pl SE,Washington,DC,20032.0,368000.0,2.0,2.0,Congress Heights,883.0,3506.0,1990.0,0.0,38.8421882,-76.99151,0.5623752500180816,0.4333948047192532
2024-04-22,Townhouse,710 3rd St SW,Washington,DC,20024.0,770000.0,3.0,2.0,R. L. A. SW,1502.0,,1961.0,696.0,38.8807715,-77.0150069,0.7606789115120333,0.45926918351316637
2024-05-15,Townhouse,919 G St SE,Washington,DC,20003.0,855000.0,2.0,1.5,Old City 1,1102.0,1316.0,1900.0,0.0,38.8810752,-76.9930287,0.3704927600030673,0.4198738516444528
